CTW_190,SLM_01,CTW_140A,DUR07,AGEGR10,SEX,MARSTAT,CXRFLAG,HHINCG1,LUC_RST,PRV
6,8,6,20,7,2,6,2,2,1,24
4,9,1,70,4,2,5,2,3,1,47
3,4,2,70,3,1,2,2,8,1,59
6,8,6,20,3,2,1,1,8,1,47
6,7,6,72,6,1,2,2,2,1,24
6,5,2,0,3,2,1,1,8,1,12
4,10,1,0,4,1,1,2,2,2,47
4,8,1,135,3,1,2,2,3,1,12
6,9,6,0,4,2,2,2,4,1,12
6,10,6,65,2,2,6,1,2,2,35
4,8,2,30,3,1,6,2,4,1,24
3,9,1,115,4,1,1,1,5,1,35
1,10,1,100,3,1,1,2,4,1,48
6,10,6,105,6,2,1,2,6,1,24
4,7,1,145,3,1,6,2,2,1,48
6,5,6,40,5,2,5,2,3,1,24
1,6,2,90,2,1,6,2,4,1,24
6,99,6,175,4,1,1,2,7,1,59
4,10,1,20,4,2,1,1,5,2,47
6,5,6,0,4,2,1,1,8,1,35
4,6,1,55,2,1,2,2,4,1,59
4,10,1,80,1,2,6,2,6,3,11
6,3,6,60,5,1,5,2,4,1,35
1,8,1,210,4,2,1,1,8,1,35
6,8,6,20,6,2,1,2,4,1,48
6,10,6,60,5,2,3,2,1,2,47
6,7,6,25,3,2,1,1,8,1,48
3,5,1,40,4,2,1,1,8,1,48
4,9,1,70,5,2,2,2,3,1,59
4,8,1,20,3,1,1,1,7,1,35
3,5,1,60,5,1,1,1,6,1,35
6,6,2,90,3,2,2,2,5,2,59
6,9,2,165,1,1,6,2,6,1,59
6,8,6,0,7,2,3,2,2,1,59
3,9,1,20,3,1,2,1,3,2,24
6,8,6,0,3,2,1,1,5,1,46
6,0,6,250,5,2,5,1,4,2,59
4,8,1,155,3,2,1,1,8,1,35
6,7,6,230,1,1,6,2,8,1,35
4,8,1,0,3,2,5,2,2,1,59
2,8,1,95,1,2,2,2,5,1,12
6,7,6,135,6,2,1,2,4,2,46
1,7,1,25,4,2,2,2,4,1,48
6,7,6,10,6,2,3,2,3,1,10
3,10,1,60,2,2,1,1,6,1,47
6,10,6,115,3,2,1,1,7,1,35
6,10,6,20,5,1,1,2,8,1,12
6,7,6,120,7,2,3,2,2,1,59
6,6,6,0,3,2,1,2,5,1,35
6,10,6,0,6,1,1,2,4,1,59
6,8,2,20,4,2,1,1,8,1,59
2,8,1,0,4,1,1,2,5,2,12
6,8,6,100,4,2,1,1,4,1,59
6,8,6,30,7,2,1,2,1,1,12
6,9,6,0,6,1,1,2,6,1,35
4,7,2,80,1,1,6,2,4,1,24
6,8,6,0,3,1,2,1,7,2,24
6,8,2,0,4,2,6,2,3,1,13
4,6,1,80,5,1,1,2,5,1,35
1,8,1,170,3,1,2,2,8,1,59
1,8,1,90,5,1,1,1,8,1,35
6,99,6,85,6,2,1,1,8,1,12
6,10,6,330,5,2,1,2,2,1,10
6,97,6,120,5,1,1,2,7,1,47
2,7,1,100,2,2,6,2,3,1,24
6,9,6,0,6,1,5,2,2,1,59
4,8,1,20,2,2,2,1,4,1,12
4,8,2,20,1,2,6,2,8,1,46
2,9,2,90,1,1,6,2,3,1,24
3,5,1,135,5,2,4,2,4,1,24
4,5,1,0,4,1,6,2,4,1,48
6,8,6,80,6,2,5,2,3,1,24
1,7,1,105,5,1,6,2,6,1,35
4,8,1,30,3,2,6,1,2,2,10
6,8,6,135,3,2,1,1,6,1,24
6,10,6,95,6,2,1,2,3,2,13
6,8,6,525,4,1,1,1,8,1,10
6,8,6,0,5,2,1,1,8,2,35
6,5,6,0,6,1,5,2,1,1,12
6,7,6,150,3,1,6,1,6,1,24
4,9,1,60,3,2,1,2,4,1,12
6,99,6,0,2,2,1,2,8,1,13
6,8,6,30,7,2,1,2,8,1,59
3,9,2,100,1,1,6,2,7,2,24
6,6,6,30,7,1,3,2,4,1,35
4,10,1,60,5,1,6,2,8,1,48
4,7,2,0,3,2,2,1,6,1,24
4,8,2,120,3,1,1,1,7,1,48
6,10,6,0,6,1,1,2,2,2,10
6,8,6,360,5,1,1,2,2,1,35
4,10,1,50,6,2,5,2,3,2,35
6,99,6,0,6,2,5,2,1,1,35
6,5,6,150,5,1,1,2,4,2,35
4,8,1,30,2,1,6,2,3,1,24
6,4,6,40,5,2,5,1,2,3,11
4,8,1,80,5,1,1,2,8,1,10
6,8,6,20,6,1,1,2,2,1,24
4,8,1,0,1,1,6,2,8,1,13
4,10,1,0,6,2,6,2,6,1,12
6,3,6,120,1,1,6,2,8,1,48
4,8,1,30,2,1,2,2,4,1,24
6,4,6,105,3,1,6,2,1,1,59
4,7,2,75,1,1,6,2,4,1,24
6,8,6,180,7,1,1,2,2,2,24
3,7,1,30,5,2,2,2,6,1,59
6,5,6,90,5,1,6,2,1,2,46
1,2,1,150,3,2,1,1,7,1,24
